Name;Gender;Eyes;Hair;Beard;Moustache;Big nose;Glasses;Hat
Alex;Male;Brown;Black;No;Yes;No;No;No
Alfred;Male;Blue;Light brown;No;Yes;No;No;No
Anita;Female;Blue;Blonde;No;No;No;No;No
Anne;Female;Brown;Black;No;No;Yes;No;No
Bernard;Male;Brown;Dark brown;No;No;Yes;No;Yes
Bill;Male;Brown;Light brown;Yes;No;No;No;No
Charles;Male;Brown;Blonde;No;Yes;No;No;No
Claire;Female;Brown;Light brown;No;No;No;Yes;Yes
David;Male;Brown;Blonde;Yes;No;No;No;Yes
Eric;Male;Brown;Blonde;No;No;No;No;Yes
Frans;Male;Brown;Light brown;No;No;No;No;No
George;Male;Brown;White;No;No;No;No;Yes
Herman;Male;Brown;Light brown;No;No;Yes;No;No
Joe;Male;Brown;Blonde;No;No;No;Yes;No
Maria;Female;Brown;Dark brown;No;No;No;No;Yes
Max;Male;Brown;Dark brown;No;Yes;Yes;No;No
Paul;Male;Brown;White;No;No;No;Yes;No
Peter;Male;Blue;White;No;No;Yes;No;No
Philip;Male;Brown;Black;Yes;No;No;No;No
Richard;Male;Brown;Dark brown;Yes;Yes;No;No;No
Robert;Male;Blue;Dark brown;No;No;Yes;No;No
Sam;Male;Brown;White;No;No;No;Yes;No
Susan;Female;Brown;White;No;No;No;No;No
Tom;Male;Blue;Black;No;No;No;Yes;No
