Name;Gender;Eyes;Hair;Beard;Moustache;Big nose;Glasses;Hat
Al;Male;Blue;Light brown;No;Yes;No;No;No
Alex;Male;Brown;Black;No;Yes;No;No;No
Amy;Female;Brown;Highlights;No;No;No;Yes;No
Anita;Female;Blue;Blonde;No;No;No;No;No
Anne;Female;Brown;Black;No;No;Yes;No;No
Ben;Male;Brown;Dark brown;No;No;Yes;Yes;No
Bernard;Male;Brown;Dark brown;No;No;Yes;No;Yes
Betty;Female;Blue;White;No;No;No;Yes;No
Bill;Male;Brown;Light brown;Yes;No;No;No;No
Carmen;Female;Brown;White;No;No;No;No;No
Charles;Male;Brown;Blonde;No;Yes;No;No;No
Claire;Female;Brown;Light brown;No;No;No;Yes;Yes
Daniel;Male;Green;Light brown;Yes;Yes;Yes;No;No
David;Male;Brown;Blonde;Yes;No;No;No;Yes
Emma;Female;Brown;Light brown;No;No;No;No;No
Eric;Male;Brown;Blonde;No;No;No;No;Yes
Farah;Female;Blue;Black;No;No;No;No;No
Frans;Male;Brown;Light brown;No;No;No;No;No
Gabe;Male;Brown;Black;No;No;No;No;No
George;Male;Brown;White;No;No;No;No;Yes
Herman;Male;Brown;Light brown;No;No;Yes;No;No
Holly;Female;Brown;Dark brown;No;No;No;No;No
Joe;Male;Brown;Blonde;No;No;No;Yes;No
Jordan;Male;Brown;Highlights;Yes;Yes;No;No;No
Katie;Female;Blue;Blonde;No;No;No;No;Yes
Laura;Female;Green;Black;No;No;No;No;No
Leo;Male;Brown;White;No;Yes;No;No;No
Lily;Female;Green;Dark brown;No;No;No;No;Yes
Liz;Female;Blue;White;No;No;No;Yes;No
Maria;Female;Brown;Dark brown;No;No;No;No;Yes
Max;Male;Brown;Dark brown;No;Yes;Yes;No;No
Mia;Female;Brown;Black;No;No;No;No;No
Mike;Male;Brown;Black;No;No;No;No;Yes
Nick;Male;Brown;Blonde;No;No;Yes;No;No
Olivia;Female;Brown;Highlights;No;No;No;No;No
Paul;Male;Brown;White;No;No;No;Yes;No
Peter;Male;Blue;White;No;No;Yes;No;No
Philip;Male;Brown;Black;Yes;No;No;No;No
Rachel;Female;Blue;Dark brown;No;No;No;Yes;No
Richard;Male;Brown;Dark brown;Yes;Yes;No;No;No
Robert;Male;Blue;Dark brown;No;No;Yes;No;No
Sally;Female;Brown;Black;No;No;No;No;No
Sam;Male;Brown;White;No;No;No;Yes;No
Sofia;Female;Green;Dark brown;No;No;No;No;No
Susan;Female;Brown;White;No;No;No;No;No
Tom;Male;Blue;Black;No;No;No;Yes;No
Victor;Male;Brown;White;No;No;No;No;No
