Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2024-01-07,Sound of Freedom,2023,https://boxd.it/5wcnTZ,3,,streaming,2024-01-06
2024-01-07,When They See Us,2019,https://boxd.it/5wco6p,4.5,,netflix,2024-01-06
2024-01-10,Parasite,2019,https://boxd.it/5y4SXv,5,Yes,streaming,2024-01-09
2024-01-19,Forgotten,2017,https://boxd.it/5CTqcJ,4,,netflix,2024-01-18
2024-01-21,The Notebook,2004,https://boxd.it/5DNNpX,4.5,,prime,2024-01-20
2024-01-22,Cinema Paradiso,1988,https://boxd.it/5EljDj,5,,raiplay,2024-01-21
2024-01-24,"Salò, or the 120 Days of Sodom",1975,https://boxd.it/5FlBWH,3.5,,streaming,2024-01-23
2024-01-27,Poor Things,2023,https://boxd.it/5GQJPv,5,,cinema,2024-01-26
2024-01-29,The Great Gatsby,2013,https://boxd.it/5HXkVr,4,,prime,2024-01-28
2024-01-30,Saltburn,2023,https://boxd.it/5IvJpj,3.5,,prime,2024-01-29
2024-02-01,Killers of the Flower Moon,2023,https://boxd.it/5Jm8Pl,4,,raiplay,2024-01-31
2024-02-02,Chicken Run,2000,https://boxd.it/5K7ADB,3.5,,netflix,2024-02-02
2024-02-04,The Iron Claw,2023,https://boxd.it/5KQlLF,4,,cinema,2024-02-03
2024-02-13,Minions: The Rise of Gru,2022,https://boxd.it/5OU5LX,3,Yes,netflix,2024-02-12
2024-02-20,Belfast,2021,https://boxd.it/5Su2Gz,4,,prime,2024-02-20
2024-02-24,The Zone of Interest,2023,https://boxd.it/5TRxR9,4.5,,cinema,2024-02-23
2024-03-01,Persona,1966,https://boxd.it/5WRuFV,3.5,,streaming,2024-02-29
2024-03-02,Backstroke,2017,https://boxd.it/5XjKYZ,3,,,2024-03-02
2024-03-02,Snake Bite,2016,https://boxd.it/5XjWyT,3.5,,,2024-03-02
2024-03-10,City of God,2002,https://boxd.it/60NbrX,5,,streaming,2024-03-09
2024-03-19,12 Years a Slave,2013,https://boxd.it/65hUt1,4.5,,prime,2024-03-18
2024-03-28,Dune: Part Two,2024,https://boxd.it/69lW2Z,5,,cinema,2024-03-27
2024-04-14,Road House,2024,https://boxd.it/6gI3dd,2.5,,netflix,2024-04-13
2024-04-15,There's Still Tomorrow,2023,https://boxd.it/6hgjmN,5,,netflix,2024-04-14
2024-04-15,Monkey Man,2024,https://boxd.it/6hnp6P,3.5,,cinema,2024-04-14
2024-04-27,Baby Reindeer,2024,https://boxd.it/6lNq7H,3.5,,netflix,2024-04-26
2024-04-28,Kill Bill: Vol. 1,2003,https://boxd.it/6maRXV,5,,netflix,2024-04-27
2024-04-28,Challengers,2024,https://boxd.it/6mnnOl,4.5,,cinema,2024-04-27
2024-05-10,Kill Bill: Vol. 2,2004,https://boxd.it/6rJpBx,4,,netflix,2024-05-10
