Date,Name,Year,Letterboxd URI
2023-07-05,Parasite,2019,https://boxd.it/hTha
2023-07-05,Joker,2019,https://boxd.it/h4cS
2023-07-05,Whiplash,2014,https://boxd.it/7bQA
2023-07-05,The Dark Knight,2008,https://boxd.it/2b0k
2023-07-05,The Wolf of Wall Street,2013,https://boxd.it/3C1m
2023-07-05,Her,2013,https://boxd.it/4O24
2023-07-05,Django Unchained,2012,https://boxd.it/2cCk
2023-07-05,Taxi Driver,1976,https://boxd.it/2b8y
2023-07-05,Shutter Island,2010,https://boxd.it/1U82
2023-07-05,1917,2019,https://boxd.it/jj4y
2023-07-05,Mad Max: Fury Road,2015,https://boxd.it/2DjO
2023-07-05,Good Will Hunting,1997,https://boxd.it/2ahY
2023-07-05,Prisoners,2013,https://boxd.it/4E5i
2023-07-05,Oldboy,2003,https://boxd.it/29R2
2023-07-05,Léon: The Professional,1994,https://boxd.it/2b8S
2023-07-05,The Hateful Eight,2015,https://boxd.it/8gw8
2023-07-05,mother!,2017,https://boxd.it/dgRU
2023-07-05,All Quiet on the Western Front,2022,https://boxd.it/H08
2023-07-05,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
2023-07-05,La Haine,1995,https://boxd.it/2as8
2023-07-05,Chernobyl,2019,https://boxd.it/mkbG
2023-07-07,Perfect Strangers,2016,https://boxd.it/dgVi
2023-07-07,The Great Heist,2020,https://boxd.it/rwSW
2023-07-12,What's Eating Gilbert Grape,1993,https://boxd.it/28xg
2023-07-20,Ford v Ferrari,2019,https://boxd.it/ce74
2023-07-29,Unbroken,2014,https://boxd.it/6IaA
2023-08-05,The Hunt,2012,https://boxd.it/3wEC
2023-08-14,The Departed,2006,https://boxd.it/28MA
2023-08-23,The Prestige,2006,https://boxd.it/293w
2023-08-24,The Lighthouse,2019,https://boxd.it/icFU
2023-09-13,12 Angry Men,1957,https://boxd.it/2auI
2023-09-19,Memories of Murder,2003,https://boxd.it/1TSo
2023-09-21,The Machinist,2004,https://boxd.it/248c
2023-10-12,Everything Everywhere All at Once,2022,https://boxd.it/jUk4
2023-11-10,Irreversible,2002,https://boxd.it/29as
2023-11-16,Gladiator,2000,https://boxd.it/2b9m
2024-03-16,City of God,2002,https://boxd.it/2a2a
2024-03-16,Manchester by the Sea,2016,https://boxd.it/b2L0
2024-03-28,Doubt,2008,https://boxd.it/1OfQ
2024-03-29,Dune: Part Two,2024,https://boxd.it/pUfA
2024-07-17,The Witch,2015,https://boxd.it/9X0m
2024-07-17,Beautiful Boy,2018,https://boxd.it/g76Q
2024-07-17,Rango,2011,https://boxd.it/QPk
2024-08-23,Requiem for a Dream,2000,https://boxd.it/29VI
2024-09-08,Perfect Blue,1997,https://boxd.it/1W7A
2024-10-25,Parthenope,2024,https://boxd.it/FWo2
2024-10-26,The Hand of God,2021,https://boxd.it/r5uI
2025-01-29,Lost Highway,1997,https://boxd.it/29Wc
2025-02-04,Fantastic Mr. Fox,2009,https://boxd.it/1WyQ
2025-02-04,Kill Bill: Vol. 1,2003,https://boxd.it/70w
2025-02-04,Challengers,2024,https://boxd.it/zld0
2025-02-04,The Fighter,2010,https://boxd.it/PP4
2025-02-04,The Substance,2024,https://boxd.it/zanS
2025-02-04,Isle of Dogs,2018,https://boxd.it/dZrW
2025-02-07,Enter the Void,2009,https://boxd.it/1dy2
2025-04-20,A Clockwork Orange,1971,https://boxd.it/2aVE
2025-04-20,Aftersun,2022,https://boxd.it/Arw0
2025-04-20,The Iron Claw,2023,https://boxd.it/w5Pm
2025-04-20,Adolescence,2025,https://boxd.it/TFGw
2025-04-20,Taken,2008,https://boxd.it/1ZXa
2025-06-07,Seven Samurai,1954,https://boxd.it/2axi
2025-06-21,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,https://boxd.it/29eY
2025-06-22,Detachment,2011,https://boxd.it/2BiY
2025-08-07,Twin Peaks,1989,https://boxd.it/g8pk
2025-08-31,Come and See,1985,https://boxd.it/1w9q
2025-10-16,Uncut Gems,2019,https://boxd.it/gXGc
2026-01-17,No Other Choice,2025,https://boxd.it/nKiA
