Date,Name,Year,Letterboxd URI,Rating
2023-07-05,Parasite,2019,https://boxd.it/hTha,5
2023-07-05,Fight Club,1999,https://boxd.it/2a9q,5
2023-07-05,Joker,2019,https://boxd.it/h4cS,5
2023-07-05,The Batman,2022,https://boxd.it/eDGs,4
2023-07-05,Spider-Man: Into the Spider-Verse,2018,https://boxd.it/azpY,4
2023-07-05,Pulp Fiction,1994,https://boxd.it/29Pq,5
2023-07-05,Midsommar,2019,https://boxd.it/jhxe,5
2023-07-05,Get Out,2017,https://boxd.it/eOCm,4
2023-07-05,Whiplash,2014,https://boxd.it/7bQA,5
2023-07-05,The Dark Knight,2008,https://boxd.it/2b0k,5
2023-07-05,Spider-Man: No Way Home,2021,https://boxd.it/nwRw,3
2023-07-05,The Grand Budapest Hotel,2014,https://boxd.it/3ZqO,5
2023-07-05,The Menu,2022,https://boxd.it/lScm,4
2023-07-05,American Psycho,2000,https://boxd.it/28Vs,4
2023-07-05,Dune,2021,https://boxd.it/fA7G,4
2023-07-05,The Wolf of Wall Street,2013,https://boxd.it/3C1m,5
2023-07-05,Once Upon a Time... in Hollywood,2019,https://boxd.it/gH0O,5
2023-07-05,The Truman Show,1998,https://boxd.it/18U8,4
2023-07-05,The Shining,1980,https://boxd.it/29Nu,4
2023-07-05,Spirited Away,2001,https://boxd.it/2b4m,4
2023-07-05,Glass Onion,2022,https://boxd.it/oCkK,3
2023-07-05,Avengers: Infinity War,2018,https://boxd.it/9vEe,3
2023-07-05,Avengers: Endgame,2019,https://boxd.it/9vE4,3
2023-07-05,Her,2013,https://boxd.it/4O24,5
2023-07-05,The Social Network,2010,https://boxd.it/17ue,4
2023-07-05,Se7en,1995,https://boxd.it/29zs,5
2023-07-05,Django Unchained,2012,https://boxd.it/2cCk,5
2023-07-05,The Godfather,1972,https://boxd.it/2aNK,5
2023-07-05,Taxi Driver,1976,https://boxd.it/2b8y,5
2023-07-05,Spider-Man: Across the Spider-Verse,2023,https://boxd.it/kSz4,4
2023-07-05,Shutter Island,2010,https://boxd.it/1U82,5
2023-07-05,Don't Look Up,2021,https://boxd.it/o0Hc,3
2023-07-05,Avatar: The Way of Water,2022,https://boxd.it/2E2E,4
2023-07-05,1917,2019,https://boxd.it/jj4y,5
2023-07-05,Mad Max: Fury Road,2015,https://boxd.it/2DjO,5
2023-07-05,Drive,2011,https://boxd.it/IG,4
2023-07-05,Avatar,2009,https://boxd.it/1Efm,4
2023-07-05,Titanic,1997,https://boxd.it/2a2k,5
2023-07-05,Dunkirk,2017,https://boxd.it/d0Y6,4
2023-07-05,WALL·E,2008,https://boxd.it/1VEo,5
2023-07-05,No Country for Old Men,2007,https://boxd.it/21ew,4
2023-07-05,2001: A Space Odyssey,1968,https://boxd.it/2bf0,5
2023-07-05,Good Will Hunting,1997,https://boxd.it/2ahY,5
2023-07-05,Prisoners,2013,https://boxd.it/4E5i,5
2023-07-05,Jurassic Park,1993,https://boxd.it/2aA2,4
2023-07-05,A Clockwork Orange,1971,https://boxd.it/2aVE,5
2023-07-05,Zodiac,2007,https://boxd.it/27MO,4
2023-07-05,Catch Me If You Can,2002,https://boxd.it/29VS,5
2023-07-05,Batman Begins,2005,https://boxd.it/2aIg,3
2023-07-05,The Whale,2022,https://boxd.it/tw4c,5
2023-07-05,The Martian,2015,https://boxd.it/8SeG,4
2023-07-05,Jaws,1975,https://boxd.it/2a5e,4
2023-07-05,Split,2016,https://boxd.it/dgSy,3
2023-07-05,Babylon,2022,https://boxd.it/mM02,4.5
2023-07-05,Oldboy,2003,https://boxd.it/29R2,5
2023-07-05,Léon: The Professional,1994,https://boxd.it/2b8S,5
2023-07-05,The Godfather Part II,1974,https://boxd.it/2aNq,5
2023-07-05,The Hateful Eight,2015,https://boxd.it/8gw8,5
2023-07-05,The Thing,1982,https://boxd.it/294O,3.5
2023-07-05,Saving Private Ryan,1998,https://boxd.it/29ro,4.5
2023-07-05,The Irishman,2019,https://boxd.it/dYOq,4.5
2023-07-05,mother!,2017,https://boxd.it/dgRU,5
2023-07-05,Halloween,1978,https://boxd.it/2wRu,3
2023-07-05,The Black Phone,2021,https://boxd.it/sqFE,3.5
2023-07-05,Guillermo del Toro's Pinocchio,2022,https://boxd.it/kjMW,3.5
2023-07-05,All Quiet on the Western Front,2022,https://boxd.it/H08,5
2023-07-05,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA,5
2023-07-05,The Pianist,2002,https://boxd.it/2aqc,5
2023-07-05,The Queen's Gambit,2020,https://boxd.it/s1Ym,4.5
2023-07-05,Akira,1988,https://boxd.it/2b1i,3.5
2023-07-05,Smile,2022,https://boxd.it/xjfE,3.5
2023-07-05,La Haine,1995,https://boxd.it/2as8,5
2023-07-05,Rocky,1976,https://boxd.it/28Uk,4
2023-07-05,Aquaman,2018,https://boxd.it/9ru0,3
2023-07-05,Despicable Me,2010,https://boxd.it/1DD8,4
2023-07-05,Old,2021,https://boxd.it/npKI,4
2023-07-05,Saw,2004,https://boxd.it/2aWW,3.5
2023-07-05,Air,2023,https://boxd.it/Arlc,3.5
2023-07-05,El Camino: A Breaking Bad Movie,2019,https://boxd.it/kv0q,3
2023-07-05,Chernobyl,2019,https://boxd.it/mkbG,4.5
2023-07-05,The Intouchables,2011,https://boxd.it/2FT0,4
2023-07-06,Life Is Beautiful,1997,https://boxd.it/29Wm,5
2023-07-06,Tear Along the Dotted Line,2021,https://boxd.it/y2r6,4
2023-07-06,This World Can't Tear Me Down,2023,https://boxd.it/H11u,3.5
2023-07-06,The Flash,2023,https://boxd.it/9twC,3
2023-07-07,Suspiria,1977,https://boxd.it/1SNW,3.5
2023-07-07,Luca,2021,https://boxd.it/ipjC,4.5
2023-07-07,Hacksaw Ridge,2016,https://boxd.it/azew,5
2023-07-07,The Ninth Gate,1999,https://boxd.it/29YM,4
2023-07-07,Shutter,2004,https://boxd.it/1JbY,3.5
2023-07-07,The Babadook,2014,https://boxd.it/77xu,4.5
2023-07-07,The Village,2004,https://boxd.it/21iS,3.5
2023-07-07,Just Mercy,2019,https://boxd.it/iXj2,3.5
2023-07-07,3-Iron,2004,https://boxd.it/28WK,4
2023-07-07,Labyrinth of Lies,2014,https://boxd.it/8VtE,3
2023-07-07,YES DAY,2021,https://boxd.it/nHgc,2
2023-07-07,The Deep End of the Ocean,1999,https://boxd.it/1key,4
2023-07-07,The Bucket List,2007,https://boxd.it/20Ye,4
2023-07-07,The Forgotten Battle,2020,https://boxd.it/nuG2,3.5
2023-07-07,Hunger,2023,https://boxd.it/ExzM,4
2023-07-07,Gomorrah,2008,https://boxd.it/1ZG4,4
2023-07-07,The Guilty,2021,https://boxd.it/kOPW,4
2023-07-07,My Name Is Vendetta,2022,https://boxd.it/wWiK,3
2023-07-07,Southpaw,2015,https://boxd.it/9Phu,4
2023-07-07,17 Again,2009,https://boxd.it/1Jnq,3
2023-07-07,The Game,1997,https://boxd.it/26vC,4.5
2023-07-07,The Girl Next Door,2004,https://boxd.it/1VSq,3.5
2023-07-07,The Sleepover,2020,https://boxd.it/nbIy,2
2023-07-07,Love and Monsters,2020,https://boxd.it/lJ6E,3
2023-07-07,A Fall from Grace,2020,https://boxd.it/oc5Y,4
2023-07-07,Sully,2016,https://boxd.it/cD8Q,4
2023-07-07,Someone Has to Die,2020,https://boxd.it/skxk,2.5
2023-07-07,Enola Holmes,2020,https://boxd.it/hX2o,2.5
2023-07-07,Enola Holmes 2,2022,https://boxd.it/vfDe,2
2023-07-07,Captain Phillips,2013,https://boxd.it/3GPK,5
2023-07-07,The Girl with All the Gifts,2016,https://boxd.it/d2lg,3
2023-07-07,The Babysitter,2017,https://boxd.it/eP1w,2.5
2023-07-07,The Great Heist,2020,https://boxd.it/rwSW,4.5
2023-07-07,The Kissing Booth,2018,https://boxd.it/geR0,1.5
2023-07-07,The Kissing Booth 2,2020,https://boxd.it/lrky,1
2023-07-07,The Kissing Booth 3,2021,https://boxd.it/rhOA,0.5
2023-07-07,All Day and a Night,2020,https://boxd.it/jjnU,3
2023-07-07,The Night Before the Exams,2006,https://boxd.it/1fE2,2
2023-07-07,Here Come the Teachers,2018,https://boxd.it/iHS6,2
2023-07-07,The Package,2018,https://boxd.it/ibD4,1.5
2023-07-07,The Perfect Date,2019,https://boxd.it/jP9A,2.5
2023-07-07,Let It Snow,2019,https://boxd.it/9kKg,2.5
2023-07-07,Paul,2011,https://boxd.it/13uE,3
2023-07-10,There Will Be Blood,2007,https://boxd.it/20Z2,4.5
2023-07-12,What's Eating Gilbert Grape,1993,https://boxd.it/28xg,4.5
2023-07-12,Donnie Darko,2001,https://boxd.it/2b2A,4.5
2023-07-13,Deep Red,1975,https://boxd.it/1E1E,4
2023-07-13,Manchester by the Sea,2016,https://boxd.it/b2L0,4.5
2023-07-16,Scarface,1983,https://boxd.it/2b7g,4.5
2023-07-17,The Pursuit of Happyness,2006,https://boxd.it/28PE,4.5
2023-07-20,Ford v Ferrari,2019,https://boxd.it/ce74,5
2023-07-21,Mr. & Mrs. Smith,2005,https://boxd.it/29CG,4.5
2023-07-22,The Founder,2016,https://boxd.it/9XwM,4.5
2023-07-22,Gone Girl,2014,https://boxd.it/6hQu,4.5
2023-07-22,The Boogeyman,2023,https://boxd.it/jnna,3.5
2023-07-22,Halloween,2018,https://boxd.it/f0uE,3
2023-07-22,Halloween Ends,2022,https://boxd.it/mO8M,3
2023-07-22,Friday the 13th,2009,https://boxd.it/1QAw,3
2023-07-22,Teen Wolf: The Movie,2023,https://boxd.it/x7gA,2.5
2023-07-22,Evil Dead Rise,2023,https://boxd.it/qIvo,3
2023-07-23,Child's Play,1988,https://boxd.it/1VTo,2.5
2023-07-24,Lady Bird,2017,https://boxd.it/dGNE,3.5
2023-07-24,Sonic the Hedgehog,2020,https://boxd.it/gdK8,2.5
2023-07-25,Despicable Me 2,2013,https://boxd.it/3gg0,3.5
2023-07-25,The Croods,2013,https://boxd.it/FRE,3.5
2023-07-25,Happy Feet,2006,https://boxd.it/1XH0,3.5
2023-07-25,The Emoji Movie,2017,https://boxd.it/d9x4,2.5
2023-07-25,The Smurfs,2011,https://boxd.it/Zcm,4
2023-07-26,Beautiful Boy,2018,https://boxd.it/g76Q,4.5
2023-07-26,Detachment,2011,https://boxd.it/2BiY,4.5
2023-07-26,Blood Diamond,2006,https://boxd.it/28Tm,4.5
2023-07-26,Nanny McPhee,2005,https://boxd.it/1Uek,3
2023-07-27,American Beauty,1999,https://boxd.it/71Y,5
2023-07-28,Annabelle,2014,https://boxd.it/7l84,2.5
2023-07-28,Tusk,2014,https://boxd.it/7eoa,3
2023-07-28,I Am Legend,2007,https://boxd.it/21DG,4.5
2023-07-28,Saw II,2005,https://boxd.it/2aRs,3
2023-07-28,Inception,2010,https://boxd.it/1skk,4
2023-07-29,The Terminal,2004,https://boxd.it/2a2O,3.5
2023-07-29,Two Is a Family,2016,https://boxd.it/dk7w,3
2023-07-29,Torno indietro e cambio vita,2015,https://boxd.it/byAy,3
2023-07-29,Unbroken,2014,https://boxd.it/6IaA,4.5
2023-07-29,Taken,2008,https://boxd.it/1ZXa,4
2023-07-29,Bright,2017,https://boxd.it/e1H8,2.5
2023-07-30,La La Land,2016,https://boxd.it/a5fa,4.5
2023-07-30,Fukushima 50,2020,https://boxd.it/kCMG,4
2023-07-31,Pinocchio,2019,https://boxd.it/ezZ6,2.5
2023-07-31,The Hand of God,2021,https://boxd.it/r5uI,4.5
2023-07-31,Interstellar,2014,https://boxd.it/4VZ8,4.5
2023-07-31,The Match,2019,https://boxd.it/p1GG,3.5
2023-07-31,Memento,2000,https://boxd.it/2bcK,4.5
2023-07-31,The Theory of Everything,2014,https://boxd.it/7YtA,4.5
2023-08-01,Pokémon Detective Pikachu,2019,https://boxd.it/fVA0,2.5
2023-08-01,Pokémon the Movie: Mewtwo Strikes Back - Evolution,2019,https://boxd.it/kZu6,3
2023-08-02,Space Jam,1996,https://boxd.it/26YO,3.5
2023-08-02,The Meg,2018,https://boxd.it/bAL4,3
2023-08-02,How It Ends,2018,https://boxd.it/h2HY,3
2023-08-02,The Midnight Sky,2020,https://boxd.it/mK6C,3.5
2023-08-02,The Main Event,2020,https://boxd.it/nCMs,1.5
2023-08-02,Sierra Burgess Is a Loser,2018,https://boxd.it/gyP4,1
2023-08-02,Sextuplets,2019,https://boxd.it/lqpi,1
2023-08-02,"Game Over, Man!",2018,https://boxd.it/gjaK,2.5
2023-08-02,Inside Bill's Brain: Decoding Bill Gates,2019,https://boxd.it/nsLa,3
2023-08-02,Rim of the World,2019,https://boxd.it/jk4k,2
2023-08-02,Malibu Rescue,2019,https://boxd.it/lagk,1.5
2023-08-02,Coffee & Kareem,2020,https://boxd.it/mKF8,2
2023-08-02,Black Widow,2021,https://boxd.it/hWV8,2.5
2023-08-02,Inglourious Basterds,2009,https://boxd.it/1JzG,4.5
2023-08-02,The Offering,2022,https://boxd.it/A5Em,3
2023-08-02,Night at the Museum,2006,https://boxd.it/28wi,3.5
2023-08-02,Night at the Museum: Battle of the Smithsonian,2009,https://boxd.it/1H7U,3
2023-08-02,Night at the Museum: Secret of the Tomb,2014,https://boxd.it/5x3m,3
2023-08-02,Mrs. Doubtfire,1993,https://boxd.it/29Cw,3.5
2023-08-02,The Boss Baby,2017,https://boxd.it/9mfO,3
2023-08-03,Uncharted,2022,https://boxd.it/b5Dy,2
2023-08-04,Sharknado,2013,https://boxd.it/69Qc,1
2023-08-04,Meg 2: The Trench,2023,https://boxd.it/mLvo,2.5
2023-08-04,Jurassic World,2015,https://boxd.it/4n0g,3.5
2023-08-04,Jurassic World: Fallen Kingdom,2018,https://boxd.it/bOnU,3
2023-08-04,Godzilla vs. Kong,2021,https://boxd.it/e0qK,3
2023-08-04,Godzilla: King of the Monsters,2019,https://boxd.it/cY7Y,3
2023-08-04,Mulholland Drive,2001,https://boxd.it/297o,4.5
2023-08-05,The Hunt,2012,https://boxd.it/3wEC,5
2023-08-08,Baby Driver,2017,https://boxd.it/bhF2,3.5
2023-08-13,Eternal Sunshine of the Spotless Mind,2004,https://boxd.it/6YK,4.5
